■생활관식당(블루미르308관)
2021년 05월 24일 ~ 2021년 05월 30일
주간식단표
구분,월요일(05/24),화요일(05/25),수요일(05/26),목요일(05/27),금요일(05/28),토요일(05/29),일요일(05/30)
중식,한식,,,,,,"고기경단
쇠고기뭇국
연근조림
실곤약채소무침
배추김치","우엉영양밥
수제비고추장찌개
오징어가스
사각어묵채볶음
도시락김
배추김치"
,,,,,890Kcal,850Kcal
,,,,,11:30~13:00,11:30~13:00
,,,,,"     3,200원","     3,200원"
일품1,"사골떡만둣국
옥수수전
천사채샐러드
배추김치","바지락된장찌개
마늘쫑건새우볶음
부추적채무침
배추김치","옹심이만두수제비국
미트볼조림
도토리묵김치무침
배추김치","닭개장
알감자조림
돌나물
배추김치","참치김치찌개
스크램블에그
샐러드파스타
배추김치",,
950Kcal,825Kcal,950Kcal,943Kcal,950Kcal,,
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,,
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",,
일품2,"순두부찌개
옥수수전
천사채샐러드
배추김치","햄김치솥밥
마늘쫑건새우볶음
부추적채무침
배추김치",매콤냉면&떡갈비Set,"버섯만두전골
알감자조림
돌나물
배추김치","차돌부대찌개
스크램블에그
샐러드파스타
배추김치",,
843Kcal,943Kcal,883Kcal,921Kcal,913Kcal,,
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,,
"     3,500원","     3,600원","     3,600원","     3,600원","     3,800원",,
일품3,"콩불고기채소비빔밥
옥수수전
천사채샐러드
배추김치","뼈없는감자탕
마늘쫑건새우볶음
부추적채무침
배추김치","우삼겹시래기해장국
미트볼조림
도토리묵김치무침
배추김치",청양크림함박스테이크,"철판간장불고기
스크램블에그
샐러드파스타
배추김치",,
810Kcal,850Kcal,160Kcal,915Kcal,890Kcal,,
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,,
"     4,000원","     3,800원","     3,800원","     4,000원","     3,800원",,
일품4,뿌팟퐁커리(태국식커리),칠리새우,점보닭다리구이,소떡소떡,목화솜탕수육,,
984Kcal,350Kcal,400Kcal,300Kcal,432Kcal,,
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,,
"     5,500원","     2,000원","     2,500원","     1,500원","     2,000원",,
일품5,점보닭다리구이,,,,,,
360Kcal,,,,,,
11:30~13:00,,,,,,
"     2,500원",,,,,,
석식,한식,"마라두부덮밥
계란팟국
가지튀김
다시마채무침
단무지","매콤산적덮밥
고구마맛탕
오이양배추무침
단무지","닭고추장볶음
열무된장국
미역줄기볶음
실곤약채소무침
배추김치","나시고랭볶음밥&미니쌀국수
사모사
베트남식피클","새우튀김&카레라이스
군만두
쫄면채소무침
배추김치","매운순대오징어볶음
순두부계란국
느타리버섯볶음
콩나물무침
배추김치","참치깍두기볶음밥
미소장국
계란찜
콩나물겨자냉채
단무지"
870Kcal,800Kcal,765Kcal,946Kcal,911Kcal,876Kcal,843Kcal
17:30~18:20,17:30~18:20,17:30~18:20,17:30~18:20,17:30~18:20,17:30~18:20,17:30~18:20
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원","     3,200원","     3,200원"
간식,일품1,"셀프라면
공기밥500원별도
웰선식(그린티/귀리/블랙/카카오)","셀프라면
공기밥500원별도
웰선식(그린티/귀리/블랙/카카오)","셀프라면
공기밥500원별도
웰선식(그린티/귀리/블랙/카카오)","셀프라면
공기밥500원별도
웰선식(그린티/귀리/블랙/카카오)","셀프라면
공기밥500원별도
웰선식(그린티/귀리/블랙/카카오)","셀프라면
공기밥500원별도
웰선식(그린티/귀리/블랙/카카오)","셀프라면
공기밥500원별도
웰선식(그린티/귀리/블랙/카카오)"
500Kcal,500Kcal,500Kcal,500Kcal,500Kcal,500Kcal,500Kcal
08:00~14:00,08:00~14:00,08:00~14:00,08:00~14:00,08:00~14:00,09:00~14:00,09:00~14:00
