■참슬기식당(310관 B4층)
2021년 05월 24일 ~ 2021년 05월 30일
주간식단표
구분,월요일(05/24),화요일(05/25),수요일(05/26),목요일(05/27),금요일(05/28),토요일(05/29),일요일(05/30)
중식,일품1,"닭갈비야채덮밥
고로케*케찹
단무지
황도","토마토파스타
마늘바게트
피클","치즈등심돈까스
양송이스프
야채샐러드
단무지","오므라이스
그릴소시지
파인애플
쥬시쿨","소고기당면덮밥
만두탕수
가쓰오국
맛김치",,
680Kcal,810Kcal,780Kcal,830Kcal,720Kcal,,
11:00~14:00,11:00~14:00,11:00~14:00,11:00~14:00,11:00~14:00,,
"     2,800원","     2,800원","     3,500원","     2,800원","     2,800원",,
특식,중식,"물만두계란국
순대야채볶음
동그랑땡전
유부맛살무침
청경채굴소스볶음
맛김치","소고기무국
제육알마늘볶음
단호박팥찜
건파래볶음
부추겉절이
열무김치","보리밥*계란후라이
두부감자된장국
제육볶음
콩나물무침
열무김치","건새우시래기된장국
훈제오리야채볶음
핫도그*케찹
감자채볶음
새송이참나물무침
깍두기","육개장칼국수
돈육깻잎튀김
청포묵김가루무침
맛김치
바나나",,
780Kcal,760Kcal,750Kcal,740Kcal,740Kcal,,
11:50~13:30,11:50~13:30,11:50~13:30,11:50~13:30,11:50~13:30,,
"     4,500원","     4,500원","     4,500원","     4,500원","     4,500원",,
석식,코로나19감염확산예방을위하여운영을중지하오니이용에참고하여주시기바랍니다,코로나19감염확산예방을위하여운영을중지하오니이용에참고하여주시기바랍니다,코로나19감염확산예방을위하여운영을중지하오니이용에참고하여주시기바랍니다,코로나19감염확산예방을위하여운영을중지하오니이용에참고하여주시기바랍니다,코로나19감염확산예방을위하여운영을중지하오니이용에참고하여주시기바랍니다,,
0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,,
17:40~18:40,17:40~18:40,17:40~18:40,17:40~18:40,17:40~18:40,,
         0원,         0원,         0원,         0원,         0원,,
석식,일품3,코로나19감염확산예방을위하여운영을중지하오니이용에참고하여주시기바랍니다,코로나19감염확산예방을위하여운영을중지하오니이용에참고하여주시기바랍니다,코로나19감염확산예방을위하여운영을중지하오니이용에참고하여주시기바랍니다,코로나19감염확산예방을위하여운영을중지하오니이용에참고하여주시기바랍니다,코로나19감염확산예방을위하여운영을중지하오니이용에참고하여주시기바랍니다,,
0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,,
17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,17:00~18:30,,
         0원,         0원,         0원,         0원,         0원,,
공지사항,
